"WH_LONG83","WH_LAT83","API_WELLNO","CSDCODE","Cum Oil","Cum Gas","SizeCategory","PointSize","df_sim_values"
-81.758426,39.821637,"34119287490100","PNPL",30871,479699,"Medium",2,NA
-81.684073,39.872126,"34059242000000","PNPL",41495,787517,"Medium",2,NA
-81.683889,39.872048,"34059241900100","PNPL",26749,548402,"Medium",2,NA
-81.659285,40.442184,"34157254850100","PNPL",17884,641925,"Medium",2,NA
-81.656812,39.779914,"34121243500100","PNPL",64699,1201991,"Large",3,NA
-81.652817,39.901475,"34059242300100","PNPL",34290,444846,"Medium",2,NA
-81.625687,39.922231,"34059242760100","PNPL",62297,553112,"Large",3,NA
-81.625527,39.922227,"34059243100100","PNPL",63100,592958,"Large",3,NA
-81.609896,39.72201,"34121243480100","PNPL",69778,903216,"Large",3,NA
-81.537469,39.664696,"34121243490100","PNPL",14065,705653,"Medium",2,NA
-81.51996,39.871451,"34121243660100","PNPL",78327,911160,"Large",3,NA
-81.506856,39.562896,"34167297290000","PNPL",12113,861181,"Medium",2,NA
-81.506856,39.562896,"34167297300000","PNPL",32956,2333180,"Medium",2,NA
-81.464943,40.011896,"34059242190100","PNPL",42891,34571,"Medium",2,NA
-81.45743,39.852783,"34121245470100","PNPL",67560,584843,"Large",3,NA
-81.453404,39.85449,"34121244100000","PNPL",136835,2062878,"Large",3,NA
-81.440973,39.861939,"34121244110000","PNPL",178880,3086636,"Large",3,NA
-81.44094,39.861972,"34121244120000","PNPL",153851,2488909,"Large",3,NA
-81.436816,39.99826,"34059242110100","PNPL",55222,262410,"Medium",2,NA
-81.436181,40.295218,"34157254940000","PNPL",25600,189040,"Medium",2,NA
-81.435298,40.032264,"34059244670000","PNPL",271715,1242147,"Large",3,NA
-81.435277,40.032211,"34059244680000","PNPL",294062,1474153,"Large",3,NA
-81.435257,40.032159,"34059244690000","PNPL",254207,1118054,"Large",3,NA
-81.434557,39.951192,"34059242430000","PNPL",140584,744032,"Large",3,NA
-81.43083,39.864071,"34121244090000","PNPL",108241,1889593,"Large",3,NA
-81.430822,39.864112,"34121244070000","PNPL",90699,1777565,"Large",3,NA
-81.430811,39.864153,"34121244710000","PNPL",178787,2095412,"Large",3,NA
-81.430799,39.864191,"34121244720000","PNPL",160382,2089416,"Large",3,NA
-81.430792,39.86423,"34121244280000","PNPL",222051,2226880,"Large",3,NA
-81.422789,39.882458,"34121244250000","PNPL",106757,3872354,"Large",3,NA
-81.422788,39.882499,"34121244240000","PNPL",107436,3362363,"Large",3,NA
-81.422788,39.88254,"34121244230000","PNPL",135867,3930645,"Large",3,NA
-81.422403,39.868244,"34121244270000","PNPL",143687,1975957,"Large",3,NA
-81.422372,39.868208,"34121244290000","PNPL",183079,3019001,"Large",3,NA
-81.422316,39.868141,"34121243890000","PNPL",97336,1678612,"Large",3,NA
-81.422228,39.868036,"34121244000000","PNPL",80546,1745582,"Large",3,NA
-81.420303,39.978288,"34059243360000","PNPL",156551,774394,"Large",3,NA
-81.420249,39.978287,"34059243370000","PNPL",174042,1047059,"Large",3,NA
-81.420196,39.978287,"34059243380000","PNPL",142033,973811,"Large",3,NA
-81.420142,39.978287,"34059243390000","PNPL",233928,1379891,"Large",3,NA
-81.419126,39.618971,"34167297230000","PNPL",32159,2563491,"Medium",2,NA
-81.419084,39.618929,"34167297240100","PNPL",45755,3340192,"Medium",2,NA
-81.418062,39.737802,"34121244050000","PNPL",47904,1558921,"Medium",2,NA
-81.417938,39.737749,"34121243990000","PNPL",43369,2164327,"Medium",2,NA
-81.417875,39.737724,"34121243980100","PNPL",35190,2072811,"Medium",2,NA
-81.41403,39.745763,"34121243940100","PNPL",35121,1334546,"Medium",2,NA
-81.413374,40.182416,"34059243130100","PNPL",165052,1211136,"Large",3,NA
-81.411393,40.005107,"34059243340000","PNPL",388309,1621552,"Large",3,NA
-81.411342,40.005145,"34059243350000","PNPL",402577,1973512,"Large",3,NA
-81.408564,39.879885,"34121244650000","PNPL",93863,2693711,"Large",3,NA
-81.408549,39.879924,"34121244660000","PNPL",100360,3266805,"Large",3,NA
-81.404308,39.881336,"34121244490000","PNPL",115930,3756715,"Large",3,NA
-81.404272,39.881366,"34121244500000","PNPL",116497,4139408,"Large",3,NA
-81.404235,39.881399,"34121245160000","PNPL",216718,3326477,"Large",3,NA
-81.404232,39.881396,"34121245150000","PNPL",166741,3002496,"Large",3,NA
-81.404156,39.881456,"34121245140000","PNPL",203650,3599306,"Large",3,NA
-81.403395,39.808575,"34121245240000","PNPL",181289,5542297,"Large",3,NA
-81.403284,39.451922,"34167297570100","PNPL",7599,4616632,"Medium",2,NA
-81.400919,39.545057,"34167297320100","PNPL",27653,3652076,"Medium",2,NA
-81.398233,39.848408,"34121244740000","PNPL",49903,2103608,"Medium",2,NA
-81.397069,39.956013,"34059242730100","PNPL",219749,1219643,"Large",3,NA
-81.395379,39.819515,"34121244460100","PNPL",48248,3264915,"Medium",2,NA
-81.393284,40.216222,"34157255140000","PNPL",37381,291786,"Medium",2,NA
-81.393243,39.69299,"34121246320000","PNPL",30255,5584169,"Medium",2,NA
-81.393137,39.692986,"34121245890000","PNPL",43776,7379432,"Medium",2,NA
-81.393076,39.883987,"34121244330000","PNPL",255339,4792127,"Large",3,NA
-81.393069,40.21622,"34157255080000","PNPL",124104,937825,"Large",3,NA
