"API_WELLNO","WH_LONG83","WH_LAT83","CSDCODE","Cum Oil","Cum Gas","SizeCategory","PointSize","Predicted_Value"
"34013206570100",-81.123021,40.043189,"PNPL",3548,3928596,"Small",1,0.883666127466378
"34013206580100",-81.145597,40.032764,"PNPL",17857,6990473,"Medium",2,1.34322012505379
"34013206600100",-81.017225,40.149873,"PNPL",871,3313889,"Small",1,1.4064549360407
"34013206700100",-81.170721,39.890635,"PNPL",422,7654436,"Small",1,1.1410664164226
"34013206720000",-81.215043,39.919701,"PNPL",2131,7829567,"Small",1,1.01008413687143
"34013206730000",-81.017131,40.149908,"PNPL",812,6201067,"Small",1,1.4064549360407
"34013206740000",-81.207361,39.938561,"PNPL",253,7176948,"Small",1,1.12437165490797
"34013206750100",-80.906006,39.909897,"PNPL",21,5675027,"Small",1,1.26364126041773
"34013206770000",-81.215014,39.919737,"PNPL",4328,9658779,"Small",1,1.01008413687143
"34013206790000",-80.997317,40.077038,"PNPL",21,7624232,"Small",1,1.0979394457318
"34013206810000",-81.096746,40.066637,"PNPL",6279,7742292,"Medium",2,0.93235750453377
"34013206820000",-81.214977,39.919783,"PNPL",2888,6847593,"Small",1,1.01008413687143
"34013206830000",-81.176681,39.889461,"PNPL",6,9158199,"Small",1,1.1410664164226
"34013206840000",-81.176627,39.889461,"PNPL",5,7760957,"Small",1,1.1410664164226
"34013206850000",-81.096799,40.066646,"PNPL",6429,8885088,"Medium",2,0.93235750453377
"34013206870000",-81.096852,40.066652,"PNPL",4664,8136930,"Small",1,0.93235750453377
"34013206880000",-81.123045,40.043245,"PNPL",3064,7995938,"Small",1,0.883666127466378
"34013206890000",-81.122997,40.04314,"PNPL",3185,5297841,"Small",1,0.883666127466378
"34013206900000",-81.14555,40.032807,"PNPL",26745,9967458,"Medium",2,1.34322012505379
"34013206910000",-81.14564,40.032723,"PNPL",5968,3820658,"Medium",2,1.34322012505379
"34013206930000",-81.176734,39.889462,"PNPL",5,11709622,"Small",1,1.1410664164226
"34013206960000",-81.214948,39.919818,"PNPL",2457,9227413,"Small",1,1.01008413687143
"34013206970000",-81.145677,40.032691,"PNPL",29067,10384022,"Medium",2,1.34322012505379
"34013206990000",-81.170699,39.890473,"PNPL",37,10407932,"Small",1,1.1410664164226
"34013207040000",-81.207319,39.938536,"PNPL",173,7460044,"Small",1,1.12437165490797
"34013207050000",-81.224679,40.078513,"PNPL",36109,1900064,"Medium",2,0.893445205923535
"34013207060000",-81.122973,40.04309,"PNPL",1317,4486580,"Small",1,0.883666127466378
"34013207070000",-81.10376,40.056719,"PNPL",3339,8374898,"Small",1,0.515190614932547
"34013207080000",-81.103713,40.056738,"PNPL",2951,7713686,"Small",1,0.515190614932547
"34013207090000",-81.103662,40.056757,"PNPL",2603,9416228,"Small",1,0.515190614932547
"34013207110000",-81.22482,40.078451,"PNPL",45545,2203437,"Medium",2,0.893445205923535
"34013207120000",-81.224751,40.078481,"PNPL",38229,2428503,"Medium",2,0.893445205923535
"34013207130000",-81.224607,40.07854,"PNPL",52777,2708578,"Medium",2,0.893445205923535
"34013207150000",-80.97968,40.025318,"PNPL",36,17471899,"Small",1,1.15067782561584
"34013207170000",-81.158567,39.892622,"PNPL",10,9325381,"Small",1,-0.0721826737733145
"34013207190000",-81.195785,39.984839,"PNPL",23288,7435337,"Medium",2,0.600580610350715
"34013207220000",-81.003678,40.024527,"PNPL",3,12436987,"Small",1,0.79702002810828
"34013207250000",-81.195825,39.984812,"PNPL",18713,5216178,"Medium",2,0.600580610350715
"34013207260000",-81.195745,39.984869,"PNPL",21434,6195944,"Medium",2,0.600580610350715
"34013207270000",-81.195709,39.984896,"PNPL",27394,9764326,"Medium",2,0.600580610350715
"34013207280000",-81.195669,39.984926,"PNPL",12508,2368664,"Medium",2,0.600580610350715
"34013207300000",-81.017033,40.149942,"PNPL",10192,5948855,"Medium",2,1.4064549360407
"34013207370000",-81.16999,39.889498,"PNPL",16,11736837,"Small",1,1.1410664164226
"34013207400000",-81.170134,39.889445,"PNPL",65,13454623,"Small",1,1.1410664164226
"34013207410000",-81.204516,39.948638,"PNPL",434,10136581,"Small",1,1.12437165490797
"34013207420000",-81.204524,39.948597,"PNPL",533,8468351,"Small",1,1.12437165490797
