Depth_ft,"Total
Dry Grain Density (g/cc)","Total Porosity (per off BV)
","Total
Water Saturation (% of PV)","Total
Gas Saturation (% of PV)",Total Oil Saturation  (% of PV)
6143.95,2.791,0.0453,0.6338,0.3268,0.0393
6145.4,2.788,0.0471,0.4829,0.4646,0.0525
6149.84,2.74,0.0524,0.3112,0.5387,0.1501
6152.86,2.75,0.0547,0.1587,0.6562,0.1851
6157.85,2.728,0.0466,0.1454,0.6365,0.2181
6159.86,2.71,0.0502,0.1906,0.6378,0.1716
6167.25,2.701,0.0456,0.2092,0.6444,0.1464
6172.28,2.702,0.0522,0.2355,0.5743,0.1902
6176.83,2.689,0.0492,0.2513,0.5458,0.2029
6181.08,2.681,0.0452,0.2938,0.5173,0.1889
6184.35,2.701,0.0384,0.2772,0.5464,0.1764
6193.4,2.702,0.0406,0.2374,0.5679,0.1947
6204.46,2.707,0.0462,0.3125,0.5166,0.1708
6208.98,2.703,0.0391,0.2712,0.5267,0.2021
6215.27,2.723,0.0405,0.3582,0.5057,0.1361
6221.3,2.72,0.0436,0.4005,0.4437,0.1558
6232.31,2.703,0.0338,0.4889,0.4105,0.1006
6234.37,2.697,0.0542,0.4138,0.4051,0.181
6240.81,2.695,0.0453,0.3173,0.5092,0.1735
6245.16,2.718,0.0472,0.3027,0.5318,0.1655
6256.01,2.737,0.0335,0.3215,0.5119,0.1666
6263.81,2.708,0.035,0.4662,0.3775,0.1563
6274.06,2.715,0.0386,0.3266,0.4473,0.2261
6280.04,2.722,0.0429,0.2255,0.5897,0.1849
6288.52,2.703,0.0395,0.2679,0.452,0.2801
6292.53,2.71,0.0314,0.2785,0.545,0.1764
6295.32,2.685,0.0418,0.2509,0.5438,0.2053
6299.3,2.715,0.0377,0.2566,0.5125,0.2309
6303.35,2.702,0.037,0.2611,0.5247,0.2141
6307.98,2.678,0.035,0.1369,0.6387,0.2245
6313.75,2.67,0.0298,0.0319,0.9521,0.016
6315.85,2.676,0.0509,0.2229,0.5634,0.2136
6317.16,2.663,0.0517,0.1814,0.5919,0.2267
6323.97,2.67,0.053,0.1417,0.6227,0.2356
6325.49,2.674,0.0442,0.1502,0.5645,0.2854
6331.37,2.662,0.049,0.1151,0.6451,0.2398
6334.26,2.689,0.0474,0.1,0.67,0.23
6338.75,2.648,0.0485,0.2715,0.4706,0.2579
6346.47,2.612,0.0447,0.0619,0.6636,0.2745
6350.38,2.622,0.0435,0.0854,0.6692,0.2454
6353.52,2.709,0.0327,0.1182,0.6396,0.2422
6360.37,2.636,0.0426,0.087,0.663,0.25
6371.25,2.632,0.0414,0.0671,0.6757,0.2572
6374.5,2.646,0.0277,0.0688,0.735,0.1962
6377.43,2.64,0.0326,0.0574,0.6841,0.2584
6380.43,2.606,0.0392,0.0943,0.6109,0.2948
6382.75,2.644,0.0331,0.1138,0.63,0.2561
6386.7,2.638,0.0289,0.0968,0.7581,0.1451
6391.76,2.649,0.0328,0.0287,0.7129,0.2584
6401.1,2.649,0.028,0.0677,0.7393,0.193
6409.36,2.658,0.0306,0.0313,0.7122,0.2565
6416.51,2.602,0.0505,0.0726,0.6858,0.2416
6419.47,2.701,0.0218,0.045,0.6399,0.3151
6431.36,2.659,0.0321,0.0297,0.6586,0.3118
6432.97,2.658,0.0409,0.0231,0.7346,0.2423
6436.21,2.638,0.0402,0.0697,0.6863,0.244
6440.04,2.614,0.0481,0.0758,0.6723,0.2519
6443.1,2.655,0.0402,0.0466,0.7089,0.2445
6444.37,2.675,0.0311,0.0603,0.7284,0.2112
6446.88,2.676,0.0175,0.0279,0.9666,0.0056
6452.5,2.72,0.0096,0.0103,0.9794,0.0103
6457.21,2.72,0.0241,0.3683,0.4885,0.1432
6458.96,2.72,0.0159,0.0307,0.8589,0.1104
6463.87,2.724,0.01,0.01,0.98,0.01
6466.78,2.743,0.0243,0.4085,0.5179,0.0735
6468.1,2.72,0.0118,0.0083,0.9834,0.0083
6469.47,2.72,0.0111,0.045,0.946,0.009
6471.3,2.723,0.0103,0.0097,0.9807,0.0097
