Sample,Porosity,Depth_ft,3.2
1 GRI,3.89,7785.6,
1 GRI,3.89,7786.1,
2 GRI,3.16,7802.5,
2 GRI,3.16,7803,
3 GRI,3.3,7815.8,
3 GRI,3.3,7816.35,
4 GRI,3.87,7832.5,
4 GRI,3.87,7833,
5 GRI,4.69,7845.9,
5 GRI,4.69,7846.4,
6 GRI,8.21,7862.5,
6 GRI,8.21,7863,
7 GRI,6.58,7876.1,
7 GRI,6.58,7876.6,
8 GRI,7.3,7888.15,
8 GRI,7.3,7888.65,
9 GRI,7.66,7894.1,
9 GRI,7.66,7894.6,
10 GRI,7.91,7900.15,
10 GRI,7.91,79000.65,
11 GRI,6.66,77905.9,
11 GRI,6.66,7906.4,
12 GRI,8.14,7911.85,
12 GRI,8.14,7912.35,
13 GRI,8.41,7917.9,
13 GRI,8.41,7918.4,
14 GRI,1.73,7923.9,
14 GRI,1.73,7924.4,
