"Depth_(ft)","Formation","TOC_(wt.%)"
6144,"Utica",0.39
6145.4,"Utica",0.29
6149.8,"Utica",2.04
6152.9,"Utica",2.44
6157.9,"Utica",2.72
6159.9,"Utica",2.87
6167.3,"Utica",2.9
6172.3,"Utica",3.05
6176.8,"Utica",2.78
6181.1,"Utica",2.74
6184.4,"Utica",2.17
6193.4,"Utica",2.36
6204.5,"Utica",2.36
6209,"Utica",2.24
6215.3,"Utica",1.78
6221.3,"Utica",1.85
6232.3,"Utica",1.66
6234.4,"Utica",2.24
6240.8,"Utica",2.31
6245.2,"Utica",2.04
6256,"Utica",1.04
6263.8,"Utica",1.24
6274.1,"Utica",1.4
6280,"Utica",1.74
6288.5,"Utica",1.9
6292.5,"Utica",1.47
6295.3,"Utica",2.23
6299.3,"Utica",1.63
6303.4,"Utica",1.95
6308,"Utica",2.45
6313.8,"Utica",2.53
6315.9,"Utica",2.93
6317.2,"Utica",3.37
6324,"Utica",3.26
6325.5,"Utica",2.71
6331.4,"Utica",3.21
6334.3,"Utica",3.02
6338.8,"Utica",3.26
6346.5,"Utica",4.49
6350.4,"Utica",3.84
6353.5,"Utica",2.28
