Depth,Al_wt%,Si_wt%,K_wt%,Ti_wt%,Fe_wt%,S_wt%,Mg_wt%,Ca_wt%,Sr_wt%,P_wt%,Mo_ppm,V_ppm,U_ppm,Ni_ppm,Cu_ppm,Zn_ppm,Th_ppm,Rb_ppm,Zr_ppm,Pb_ppm,chemofacies,Factor1,Factor2,Factor3,TOC_(wt.%),Total_Porosity,Quartz,Plagioclase,K-Feldspar,Calcite,Siderite,Ankerite,Dolomite,Pyrite,Fluorapatite,Barite,Total_Clay,MBI
6141,4.9,16.74,2.22,0.001,4.97,1.78,0.3,1.99,0.01,0.08,1.5,10,8.3,107.14,50.2,98.64,8.02,59.96,118.15,33.51,2,0.576585065772521,-0.0640317737077683,-0.527533700032452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6141.6,7.98,28.22,2.83,0.001,5.32,2.39,1.3,0.95,0.01,0.06,1.5,10,8.78,97.59,56.13,102.44,23.59,62.07,129.97,31.48,2,1.17591155874911,0.340730295573689,-0.850250462859124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6142,7.4,28.79,2.69,0.57,5.02,2.65,1.12,2.26,0.02,0.02,7.59,238.16,9.26,104.05,52.68,103.54,7.81,57,145.77,37.01,1,1.05051422120812,-0.930470713502139,-1.22964199777732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6142.6,8.3,29.34,2.7,0.57,5.58,3.03,1.72,1.29,0.01,0.05,6.54,214.31,10.41,131.47,68.08,114.91,6.64,56.94,145.99,43.14,1,1.21262573748385,-1.28773361659697,-1.49467916453304,NA,NA,23.084889643463505,4.787775891341235,7.660441426145977,4.042444821731753,0.9575551782682471,2.8726655348047414,0.42444821731752924,3,0,0,53.212224108658766,0.35212224108658763
6143,5.15,26.24,1.7,0.001,4.71,1.89,0.9,2.31,0.03,0.02,1.5,10,10.985,99.98,71.86,130.66,9.15,84.75,169.27,20.24,2,1.05728320637557,-0.781447618955891,0.0474207566772848,NA,NA,23.22071307300499,4.44821731748752,7.117147707980033,4.110356536502496,0.8896434634975041,2.6689303904925126,1.1035653650249584,3,0,0,53.55178268251248,0.3555178268251248
6143.6,7.49,28.59,2.69,0.001,5.08,2.21,1.38,1.31,0.01,0.06,9.18,10,11.56,127.41,53.22,102.76,9.71,58.57,118.87,48.86,1,0.819132031393119,-0.263174368147065,-1.83736211006896,NA,NA,23.42444821731753,3.938879456706177,6.302207130729883,4.212224108658765,0.7877758913412354,2.363327674023706,2.1222410865876458,3,0,0,54.061120543293825,0.36061120543293823
6144,7.02,24.33,2.39,0.49,4.17,1.82,1.2,8.4,0.03,0.06,1.5,178.56,10.385,114.07,52.5,91.68,10.27,48.1,114.56,16.14,2,0.804849028625215,-1.12773243666063,0.188237799957482,0.39,0.04536206896551748,23.560271646859015,3.5993208828524628,5.75891341256394,4.280135823429507,0.7198641765704925,2.1595925297114773,2.801358234295075,3,0,0,54.40067911714754,0.3640067911714754
6144.6,7.53,27.31,2.68,0.001,4.87,2.46,1.24,1.16,0.01,0.06,1.5,10,9.21,95.81,64.16,127.66,10.81,61.84,127.37,12.62,2,1.27222634974691,-0.295376924128728,-0.100856637276957,0.34714285714282,0.04610689655172492,23.764006791171553,3.0899830220711184,4.94397283531379,4.382003395585777,0.6179966044142238,1.853989813242671,3.8200339558577627,3,0,0,54.91001697792888,0.36910016977928883
6145,5.28,18.06,2.3,0.001,4.66,1.97,0.3,2.16,0.02,0.08,1.5,10,10.33,87.37,48.82,102.49,9.42,149.47,144.47,23.76,2,1.12831594432527,-0.226085187526345,0.0581044203808307,0.31857142857140996,0.046603448275862464,23.89983022071304,2.750424448217404,4.400679117147846,4.449915110356519,0.5500848896434808,1.6502546689304425,4.499151103565192,3,0,0,55.2495755517826,0.37249575551782593
6145.6,8.24,28.22,2.99,0.64,5.05,2.29,1.19,1.74,0.02,0.07,1.5,236.91,11.45,115.68,53.6,95.62,9.46,61.87,147.31,23.03,1,1.37688524309702,-1.30979682907151,0.0226631318548635,0.36954545454573406,0.04733873873873958,24.103565365025577,2.2410865874360604,3.5857385398976964,4.551782682512788,0.44821731748721205,1.344651952461636,5.517826825127879,3,0,0,55.75891341256394,0.3775891341256394
6146,7.73,25.19,2.72,0.56,5.12,2.89,1.39,1.37,0.02,0.1,1.5,192.93,13.68,108.12,44.44,88.61,9.31,63.19,142.91,33.82,1,1.18436669080876,-1.05364379354336,-0.523708878664087,0.5286363636364787,0.047816216216216574,24.239388794567063,1.9015280135823454,3.0424448217317526,4.619694397283531,0.38030560271646907,1.1409168081494072,6.196943972835309,3,0,0,56.09847198641766,0.38098471986417654
