"Depth_ft","Formation","Quartz","Plagioclase","K-Feldspar","Calcite","Siderite","Ankerite","Dolomite","Pyrite","Fluorapatite","Barite","Total_Clay","MBI"
6142.35,"Utica",23,5,8,4,1,3,0,3,0,0,53,0.35
6148.24,"Utica",25,0,0,5,0,0,10,3,0,0,58,0.4
6156.25,"Utica",20,3,6,11,1,3,15,5,0,0,36,0.52
6165.65,"Utica",22,4,5,12,0,5,3,5,0,0,45,0.42
6175.23,"Utica",27,6,1,12,0,3,2,5,1,0,43,0.42
6182.75,"Utica",26,4,1,18,0,5,1,4,0,2,39,0.46
6202.86,"Utica",24,3,6,15,0,2,5,4,0,0,41,0.5
6213.67,"Utica",21,5,4,17,0,5,4,3,1,0,42,0.45
6230.71,"Utica",23,2,1,17,0,3,1,3,0,1,48,0.42
6239.21,"Utica",24,6,0,13,0,4,3,2,0,1,47,0.4
6254.41,"Utica",23,6,2,28,1,7,1,3,0,0,29,0.54
6272.46,"Utica",22,5,1,23,0,3,5,2,1,0,38,0.51
6286.92,"Utica",21,4,4,24,1,4,4,2,0,0,36,0.53
6293.72,"Utica",18,0,13,21,0,0,5,2,0,1,41,0.56
6301.75,"Utica",21,2,4,23,0,4,7,3,1,1,35,0.54
6312.15,"Utica",26,6,2,18,0,4,5,4,0,0,36,0.5
6315.56,"Utica",20,7,2,28,0,4,9,3,1,0,27,0.58
6323.89,"Utica",24,2,1,29,0,0,7,3,0,0,35,0.6
6332.66,"Utica",22,1,0,34,0,3,6,4,0,0,31,0.61
6344.87,"Utica",21,0,1,47,0,0,6,3,0,0,23,0.74
6351.92,"Utica",17,0,1,52,0,0,3,6,1,0,19,0.74
