"Depth","Al_wt%","Si_wt%","K_wt%","Ti_wt%","Fe_wt%","S_wt%","Mg_wt%","Ca_wt%","Sr_wt%","P_wt%","Mo_ppm","V_ppm","U_ppm","Ni_ppm","Cu_ppm","Zn_ppm","Th_ppm","Rb_ppm","Zr_ppm","Pb_ppm","Formation","chemofacies","Factor1","Factor2","Factor3"
6336,5.15,22.85,1.61,0.78,1.88,1.24,0.63,15.05,0.08,0.09,5.14,64.26,8.83000961303711,105.09,40.12,13.56,6.73,32.88,86.66,10.47,"Point Pleasant FM",2,-0.285654107541034,-0.731827414204841,0.222259608731085
6336.6,5.15,22.85,1.61,0.78,1.88,1.24,0.63,15.05,0.08,0.09,5.14,64.26,8.83000961303711,105.09,40.12,13.56,6.73,32.88,86.66,10.47,"Point Pleasant FM",2,-0.285654107541034,-0.731827414204841,0.222259608731085
6337,4.76,19.42,1.46,0.001,2.7,2.54,1.74,19.47,0.1,0.08,5.38,10,8.83000480651856,99.33,57.34,23.13,7.06,25.79,81.97,16.07,"Point Pleasant FM",2,-0.425129854108347,-0.432385297304708,-0.814870093918691
6337.6,4.76,19.42,1.46,0.001,2.7,2.54,1.74,19.47,0.1,0.08,5.38,10,8.83000480651856,99.33,57.34,23.13,7.06,25.79,81.97,16.07,"Point Pleasant FM",2,-0.425129854108347,-0.432385297304708,-0.814870093918691
6338,4.71,21.73,1.55,0.23,1.87,1.35,0.89,17.69,0.09,0.1,1.5,55.44,8.83000240325928,75.62,53.91,25.87,7.11,27.67,84.37,13.81,"Point Pleasant FM",2,-0.266307525859819,-0.549133299525854,0.258385531366627
6338.6,4.71,21.73,1.55,0.23,1.87,1.35,0.89,17.69,0.09,0.1,1.5,55.44,8.83000240325928,75.62,53.91,25.87,7.11,27.67,84.37,13.81,"Point Pleasant FM",2,-0.266307525859819,-0.549133299525854,0.258385531366627
6339,3.96,17.71,1.24,0.17,1.67,1.11,1.35,21.97,0.11,0.07,1.5,68.19,8.83000120162964,95.54,7.5,33.18,7.06,58.9,83.27,6.93,"Point Pleasant FM",2,-0.253520922723468,-0.590140884432721,0.930183032207382
6339.6,3.96,17.71,1.24,0.17,1.67,1.11,1.35,21.97,0.11,0.07,1.5,68.19,8.83000120162964,95.54,7.5,33.18,7.06,58.9,83.27,6.93,"Point Pleasant FM",2,-0.253520922723468,-0.590140884432721,0.930183032207382
6340,3.73,18.58,1.22,0.16,1.6,1.49,0.3,21.07,0.11,0.08,5.34,56.24,8.83000060081482,108,27.44,36.98,7.23,60.27,75.44,7.63,"Point Pleasant FM",2,-0.598314520180182,-0.543496613740825,0.0920877394358459
6340.6,3.73,18.58,1.22,0.16,1.6,1.49,0.3,21.07,0.11,0.08,5.34,56.24,8.83000060081482,108,27.44,36.98,7.23,60.27,75.44,7.63,"Point Pleasant FM",2,-0.598314520180182,-0.543496613740825,0.0920877394358459
6341,3.17,16.91,1.62,0.13,1.3,1.52,0.3,23.23,0.11,0.13,4.91,39.52,8.83000030040741,106.29,25.23,45.26,7.4,46.1,64.18,9.39,"Point Pleasant FM",4,-0.745889477955029,-0.434644513312283,-0.0224154630489966
6341.6,3.17,16.91,1.62,0.13,1.3,1.52,0.3,23.23,0.11,0.13,4.91,39.52,8.83000030040741,106.29,25.23,45.26,7.4,46.1,64.18,9.39,"Point Pleasant FM",4,-0.745889477955029,-0.434644513312283,-0.0224154630489966
6342,3.97,17.94,1.22,0.47,1.36,1.16,1.34,20.62,0.1,0.02,7.56,45.27,8.83000015020371,95.22,47.83,27.08,6.26,57.11,69.58,8.55,"Point Pleasant FM",2,-0.538848229227151,-0.818904757670678,-0.00505052873539191
6342.6,3.97,17.94,1.22,0.47,1.36,1.16,1.34,20.62,0.1,0.02,7.56,45.27,8.83000015020371,95.22,47.83,27.08,6.26,57.11,69.58,8.55,"Point Pleasant FM",2,-0.538848229227151,-0.818904757670678,-0.00505052873539191
6343,3.75,19.07,1.22,0.17,1.99,1.75,1.37,19.47,0.1,0.12,5.03,60.93,8.83000007510185,113.42,37.55,34.91,6.415,23.9,74.85,13.15,"Point Pleasant FM",2,-0.59660694657305,-0.773436604623599,-0.241858116687218
6343.6,3.75,19.07,1.22,0.17,1.99,1.75,1.37,19.47,0.1,0.12,5.03,60.93,8.83000007510185,113.42,37.55,34.91,6.415,23.9,74.85,13.15,"Point Pleasant FM",2,-0.59660694657305,-0.773436604623599,-0.241858116687218
6344,2.14,9.21,0.86,1.2,1.45,1.46,1,32.49,0.17,0.05,6.21,10,8.83000003755093,108.25,37.8,13.28,6.4925,24.43,35.33,10.13,"Point Pleasant FM",4,-1.5409457720608,-0.805803008788426,-0.266490551409009
6344.6,2.14,9.21,0.86,1.2,1.45,1.46,1,32.49,0.17,0.05,6.21,10,8.83000003755093,108.25,37.8,13.28,6.4925,24.43,35.33,10.13,"Point Pleasant FM",4,-1.5409457720608,-0.805803008788426,-0.266490551409009
6345,3.5,18.06,1.08,0.15,1.62,1.58,0.77,23.07,0.13,0.09,5.89,31.48,8.83000001877546,112.99,44.68,52.65,6.53125,49.95,70.95,10.13,"Point Pleasant FM",2,-0.76841064699759,-0.769596476899477,-0.231525081327869
6345.6,3.5,18.06,1.08,0.15,1.62,1.58,0.77,23.07,0.13,0.09,5.89,31.48,8.83000001877546,112.99,44.68,52.65,6.53125,49.95,70.95,10.13,"Point Pleasant FM",2,-0.76841064699759,-0.769596476899477,-0.231525081327869
