Depth_(ft),Formation,TOC (wt.%)
7787.2,Utica,0.23
7792.1,Utica,0.19
7798,Utica,0.31
7802.1,Utica,0.25
7807.1,Utica,0.19
7812,Utica,0.16
7817.4,Utica,0.32
7822,Utica,0.32
7827,Utica,0.65
7832,Utica,0.5
7837,Utica,0.68
7842,Utica,0.49
7847.3,Utica,0.91
7852,PP,2.93
7857,PP,0.72
7862,PP,1.86
7867,PP,1.77
7872,PP,1.9
7877.6,PP,2.33
7882,PP,2.25
7887,PP,2.13
7892,PP,2.59
7897,PP,3.63
7907.4,PP,3.25
7912,PP,3.5
7917,PP,2.39
7922,PP,4.53
7927,PP,4.6
7932.5,PP,0.68
7937,PP,1.28
7943,PP,2.02
7947,PP,1.57
7952,PP,2.06
7957,Lexington,0.8
7962,Lexington,0.88
7967,Lexington,0.34
7972,Lexington,0.03
