Depth_(ft),Formation,TOC_(wt.%)
6144,Utica,0.39
6145.4,Utica,0.29
6149.8,Utica,2.04
6152.9,Utica,2.44
6157.9,Utica,2.72
6159.9,Utica,2.87
6167.3,Utica,2.9
6172.3,Utica,3.05
6176.8,Utica,2.78
6181.1,Utica,2.74
6184.4,Utica,2.17
6193.4,Utica,2.36
6204.5,Utica,2.36
6209,Utica,2.24
6215.3,Utica,1.78
6221.3,Utica,1.85
6232.3,Utica,1.66
6234.4,Utica,2.24
6240.8,Utica,2.31
6245.2,Utica,2.04
6256,Utica,1.04
6263.8,Utica,1.24
6274.1,Utica,1.4
6280,Utica,1.74
6288.5,Utica,1.9
6292.5,Utica,1.47
6295.3,Utica,2.23
6299.3,Utica,1.63
6303.4,Utica,1.95
6308,Utica,2.45
6313.8,Utica,2.53
6315.9,Utica,2.93
6317.2,Utica,3.37
6324,Utica,3.26
6325.5,Utica,2.71
6331.4,Utica,3.21
6334.3,Utica,3.02
6338.8,Utica,3.26
6346.5,Utica,4.49
6350.4,Utica,3.84
6353.5,Utica,2.28
6360.4,PP,3.3
6371.3,PP,3.94
6374.5,PP,2.48
6377.4,PP,3.27
6380.4,PP,4.17
6382.8,PP,3.47
6386.7,PP,2.96
6391.8,PP,2.62
6401.1,PP,2.62
6409.4,PP,2.58
6416.5,PP,5.25
6419.5,PP,2.16
6431.4,PP,3.74
6433,PP,3.62
6436.2,PP,4.29
6440,PP,5.17
6443.1,PP,3.55
6444.4,Trenton,2.19
6446.9,Trenton,1.09
6452.5,Trenton,0.11
6457.2,Trenton,0.76
6459,Trenton,0.44
6463.9,Trenton,0.08
6466.8,Trenton,0.33
6468.1,Trenton,0.06
6469.5,Trenton,0.06
6471.3,Trenton,0.14
