Depth,Al_wt%,Si_wt%,K_wt%,Ti_wt%,Fe_wt%,S_wt%,Mg_wt%,Ca_wt%,Sr_wt%,P_wt%,Mo_ppm,V_ppm,U_ppm,Ni_ppm,Cu_ppm,Zn_ppm,Th_ppm,Rb_ppm,Zr_ppm,Pb_ppm,chemofacies,Factor1,Factor2,Factor3,TOC (wt.%),Porosity,Quartz,Plagioclase,K_Feldspar,Calcite,Dolomite_Fe_Dolomite,Pyrite,Total_Clay,MBI
7849.6,9.11,25.92,2.77,0.001,3.72,1.45,0.99,6.98,0.03,0.02,1.5,10,2,15,7.5,112.13,21.74375,57.03,107.68,5,3,1.203511007499,1.46279407511525,0.528344337361344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7850,8.13,24.55,2.69,0.001,3.57,0.94,0.78,7.36,0.03,0.02,1.5,10,2,15,7.5,7.5,22.166875,55.16,102.93,5,3,0.878344728111456,1.61944407893456,0.72118934712293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7850.6,5.35,16.8,1.4,0.001,2.49,0.77,1.25,20.93,0.07,0.02,1.5,10,2,15,7.5,64.86,22.3784375,31.52,78.02,18.09,3,-0.10819877068554,1.2956203798891,0.150179076961973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7851,8.79,23.54,2.31,0.001,4.05,1.88,1.15,10.78,0.04,0.02,1.5,10,2,15,7.5,85.37,22.59,48.98,103.83,38.89,3,0.769061245166534,1.78221432719198,-0.743461184194528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7851.6,9.5,28.19,2.7,0.001,3.61,1.23,0.98,6.88,0.03,0.02,1.5,10,2,15,7.5,7.5,19.77,52.17,105.27,5,3,1.06900417943908,1.58699440015815,0.706565468808614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7852,7.14,22.88,2.22,0.001,3.73,1.64,0.65,10.46,0.04,0.02,1.5,10,2,82.95,39.9,83.15,18.36,46.22,128.19,36.84,3,0.540347392336437,0.812798391714149,-0.641990351282983,2.93,NA,NA,NA,NA,NA,NA,NA,NA,NA
7852.6,7.14,22.88,2.22,0.001,3.73,1.64,0.65,10.46,0.04,0.02,1.5,10,2,82.95,39.9,83.15,18.36,46.22,128.19,36.84,3,0.540347392336437,0.812798391714149,-0.641990351282983,2.6647999999998393,NA,NA,NA,NA,NA,NA,NA,NA,NA
7853,5.96,19.48,2.08,0.001,3.05,0.79,0.49,14.37,0.05,0.02,1.5,10,2,15,7.5,75.66,17.655,43.21,96.75,19.22,3,0.348974338819272,1.36683427917842,0.284363290424396,2.488,NA,NA,NA,NA,NA,NA,NA,NA,NA
7853.6,5.96,19.48,2.08,0.001,3.05,0.79,0.49,14.37,0.05,0.02,1.5,10,2,15,7.5,75.66,17.655,43.21,96.75,19.22,3,0.348974338819272,1.36683427917842,0.284363290424396,2.2227999999998396,NA,NA,NA,NA,NA,NA,NA,NA,NA
7854,5.97,18.66,2.47,0.41,3.82,0.99,0.51,9.39,0.04,0.02,1.5,10,2,15,7.5,61.79,17.3025,50.19,101.88,31.91,3,0.520318729329493,1.46734224474947,-0.0691798604721367,2.0460000000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA
7854.6,5.97,18.66,2.47,0.41,3.82,0.99,0.51,9.39,0.04,0.02,1.5,10,2,15,7.5,61.79,17.3025,50.19,101.88,31.91,3,0.520318729329493,1.46734224474947,-0.0691798604721367,1.7807999999998394,NA,NA,NA,NA,NA,NA,NA,NA,NA
7855,6.71,21.05,2.08,0.001,3.18,1.56,1.02,13.01,0.05,0.02,1.5,10,10.72,15,7.5,57.47,17.12625,41.5,107.01,26.86,3,0.436610273648133,0.924099104364922,-0.0594183390990069,1.6040000000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA
7855.6,6.71,21.05,2.08,0.001,3.18,1.56,1.02,13.01,0.05,0.02,1.5,10,10.72,15,7.5,57.47,17.12625,41.5,107.01,26.86,3,0.436610273648133,0.924099104364922,-0.0594183390990069,1.3387999999998392,NA,NA,NA,NA,NA,NA,NA,NA,NA
7856,5.89,18.21,1.95,0.001,2.99,0.89,1.01,15.95,0.05,0.02,1.5,10,2,15,7.5,59.2,17.038125,41.82,97.53,19.27,3,0.314077232400022,1.28861100389631,0.286798326275004,1.1620000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA
7856.6,5.89,18.21,1.95,0.001,2.99,0.89,1.01,15.95,0.05,0.02,1.5,10,2,15,7.5,59.2,17.038125,41.82,97.53,19.27,3,0.314077232400022,1.28861100389631,0.286798326275004,0.8967999999998395,NA,NA,NA,NA,NA,NA,NA,NA,NA
7857,7.47,23.88,2.44,0.001,3.33,0.94,0.82,8.75,0.03,0.02,1.5,10,2,81.09,7.5,59.69,16.9940625,50.72,113.71,27.32,3,0.716147859550435,0.964454681049013,0.196295121412679,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA
7857.6,7.47,23.88,2.44,0.001,3.33,0.94,0.82,8.75,0.03,0.02,1.5,10,2,81.09,7.5,59.69,16.9940625,50.72,113.71,27.32,3,0.716147859550435,0.964454681049013,0.196295121412679,0.8568000000000829,NA,NA,NA,NA,NA,NA,NA,NA,NA
7858,7.68,23.5,2.54,0.001,3.56,1.52,0.68,9.05,0.04,0.02,1.5,10,2,15,7.5,104.14,16.95,51.01,100.58,42.22,3,0.744958081940184,1.61290568079034,-0.580212485050445,0.948,NA,NA,NA,NA,NA,NA,NA,NA,NA
