"Depth_ft","Al_wt%","Si_wt%","K_wt%","Ti_wt%","Fe_wt%","S_wt%","Mg_wt%","Ca_wt%","Sr_wt%","P_wt%","Mo_ppm","V_ppm","U_ppm","Ni_ppm","Cu_ppm","Zn_ppm","Th_ppm","Rb_ppm","Zr_ppm","Pb_ppm","Chemofacies","Formation","Core","chemofacies","Al_ppm","K/Al","Mg/Al","Rb/Al","Si/Al","Ti/Al","Zr/Al","Si/Ti","Cu/Al","Fe/Al","Ni/Al","Mo/Al","S/Al","U/Al","Zn/Al","Si/Ca","SGR","Sr/Ca","V/Al","Depth_ft","Factor1","Factor2","Factor3"
7782,2.12,5.48,0.38,0.001,1.19,0.42,0.75,38.61,0.13,0.02,1.5,10,2,15,7.5,25.78,16.85,9.1,20.91,5,5,"Utica FM","Washinton",4,21200,0.18,0.35,0.00043,2.6,0.00047,0.00099,5500,0.00035,0.56,0.00071,7.1e-05,0.2,9.4e-05,0.0012,0.14,89.48,0.0034,0.00047,7782,-1.48230614315597,1.01685105487369,0.379305037583799
7782.6,7.3,23.7,2.52,0.44,4.36,1.58,0.69,4.82,0.02,0.02,1.5,10,2,15,7.5,7.5,15.99,57.66,135.43,5,3,"Utica FM","Washinton",3,73000,0.35,0.095,0.00079,3.2,0.06,0.0019,54,1e-04,0.6,0.00021,2.1e-05,0.22,2.7e-05,1e-04,4.9,120.28,0.0041,0.00014,7782.6,1.04352166817171,1.39760996902455,0.719848634873688
7783,1.04,2.62,0.11,0.001,4.01,0.66,0.3,44.49,0.15,0.02,1.5,10,2,15,7.5,7.5,15.56,1.5,1.5,5,5,"Utica FM","Washinton",4,10400,0.11,0.29,0.00014,2.5,0.00096,0.00014,2600,0.00072,3.9,0.0014,0.00014,0.63,0.00019,0.00072,0.059,80,0.0034,0.00096,7783,-1.7566635490636,1.27204868154612,-0.0713720086995859
7783.6,4.12,11.97,1.39,0.001,3.66,0.92,0.67,19.92,0.05,0.02,1.5,10,2,15,7.5,7.5,15.345,48.77,104.86,5,3,"Utica FM","Washinton",3,41200,0.34,0.16,0.0012,2.9,0.00024,0.0025,12000,0.00018,0.89,0.00036,3.6e-05,0.22,4.9e-05,0.00018,0.6,99.62,0.0025,0.00024,7783.6,-0.00628371919803721,1.24592595743002,0.630415767433768
7784,8.6,26.01,2.6,0.46,4.26,2.15,0.9,4.83,0.03,0.02,1.5,10,2,15,7.5,72.09,15.2375,56.94,149.79,27.11,3,"Utica FM","Washinton",3,86000,0.3,0.1,0.00066,3,0.053,0.0017,57,8.7e-05,0.5,0.00017,1.7e-05,0.25,2.3e-05,0.00084,5.4,118.55,0.0062,0.00012,7784,1.21729726657867,1.42983195262479,-0.0741238937889781
7784.6,1.31,3.61,0.14,0.001,2.765,0.31,0.61,42.6,0.14,0.02,1.5,10,2,15,7.5,7.5,15.18375,1.5,1.5,5,5,"Utica FM","Washinton",4,13100,0.11,0.47,0.00011,2.8,0.00076,0.00011,3600,0.00057,2.1,0.0011,0.00011,0.24,0.00015,0.00057,0.085,78.975,0.0033,0.00076,7784.6,-1.70282200364495,1.10620553071763,0.212315143817052
7785,1.74,4.91,0.48,0.001,1.27,0.45,0.3,38.13,0.13,0.02,1.5,10,2,15,7.5,15.75,15.13,8.03,18,5,5,"Utica FM","Washinton",4,17400,0.28,0.17,0.00046,2.8,0.00057,0.001,4900,0.00043,0.73,0.00086,8.6e-05,0.26,0.00011,0.00091,0.13,84.2,0.0034,0.00057,7785,-1.56079426099641,1.08499206226929,0.354885787313418
7785.6,9,25.89,2.67,0.001,4.72,1.28,1.26,4.01,0.02,0.02,1.5,10,2,15,7.5,101.49,19.06,58.32,142.14,17.37,3,"Utica FM","Washinton",3,90000,0.3,0.14,0.00065,2.9,0.00011,0.0016,26000,8.3e-05,0.52,0.00017,1.7e-05,0.14,2.2e-05,0.0011,6.5,134.96,0.005,0.00011,7785.6,1.43267297734384,1.41792807010072,0.370200177678114
7786,9,25.89,2.67,0.001,4.72,1.28,1.26,4.01,0.02,0.02,1.5,10,2,15,7.5,101.49,19.06,58.32,142.14,17.37,3,"Utica FM","Washinton",3,90000,0.3,0.14,0.00065,2.9,0.00011,0.0016,26000,8.3e-05,0.52,0.00017,1.7e-05,0.14,2.2e-05,0.0011,6.5,134.96,0.005,0.00011,7786,1.43267297734384,1.41792807010072,0.370200177678114
7786.1,8.04,23.07,2.3,0.001,3.96,1.92,0.76,10.22,0.06,0.02,1.5,10,2,15,7.5,89.96,22.99,50.58,108.32,23.34,3,"Utica FM","Washinton",3,80400,0.29,0.095,0.00063,2.9,0.00012,0.0013,23000,9.3e-05,0.49,0.00019,1.9e-05,0.24,2.5e-05,0.0011,2.3,144.76,0.0059,0.00012,7786.1,0.7025034120935,1.69251197095168,-0.337719960210287
7786.6,8.04,23.07,2.3,0.001,3.96,1.92,0.76,10.22,0.06,0.02,1.5,10,2,15,7.5,89.96,22.99,50.58,108.32,23.34,3,"Utica FM","Washinton",3,80400,0.29,0.095,0.00063,2.9,0.00012,0.0013,23000,9.3e-05,0.49,0.00019,1.9e-05,0.24,2.5e-05,0.0011,2.3,144.76,0.0059,0.00012,7786.6,0.7025034120935,1.69251197095168,-0.337719960210287
7787,8.04,23.07,2.3,0.001,3.96,1.92,0.76,10.22,0.06,0.02,1.5,10,2,15,7.5,89.96,22.99,50.58,108.32,23.34,3,"Utica FM","Washinton",3,80400,0.29,0.095,0.00063,2.9,0.00012,0.0013,23000,9.3e-05,0.49,0.00019,1.9e-05,0.24,2.5e-05,0.0011,2.3,144.76,0.0059,0.00012,7787,0.7025034120935,1.69251197095168,-0.337719960210287
7787.1,7.16,22.07,2.48,0.001,4.2,2.05,0.68,8.65,0.04,0.08,1.5,10,2,15,7.5,7.5,19.045,50.69,111.39,5,3,"Utica FM","Washinton",3,71600,0.35,0.095,0.00071,3.1,0.00014,0.0016,22000,1e-04,0.59,0.00021,2.1e-05,0.29,2.8e-05,1e-04,2.6,131.86,0.0046,0.00014,7787.1,0.699351117966614,1.63624266939325,0.231575644956864
