"","Depth_ft","Al_wt%","Si_wt%","K_wt%","Ti_wt%","Fe_wt%","S_wt%","Mg_wt%","Ca_wt%","Sr_wt%","P_wt%","Mo_ppm","V_ppm","U_ppm","Ni_ppm","Cu_ppm","Zn_ppm","Th_ppm","Rb_ppm","Zr_ppm","Pb_ppm","Chemofacies","Formation"
"1",7782,2.12,5.48,0.38,0.001,1.19,0.42,0.75,38.61,0.13,0.02,1.5,10,2,15,7.5,25.78,16.85,9.1,20.91,5,5,"Utica FM"
"2",7782.6,7.3,23.7,2.52,0.44,4.36,1.58,0.69,4.82,0.02,0.02,1.5,10,2,15,7.5,7.5,15.99,57.66,135.43,5,3,"Utica FM"
"3",7783,1.04,2.62,0.11,0.001,4.01,0.66,0.3,44.49,0.15,0.02,1.5,10,2,15,7.5,7.5,15.56,1.5,1.5,5,5,"Utica FM"
"4",7783.6,4.12,11.97,1.39,0.001,3.66,0.92,0.67,19.92,0.05,0.02,1.5,10,2,15,7.5,7.5,15.345,48.77,104.86,5,3,"Utica FM"
"5",7784,8.6,26.01,2.6,0.46,4.26,2.15,0.9,4.83,0.03,0.02,1.5,10,2,15,7.5,72.09,15.2375,56.94,149.79,27.11,3,"Utica FM"
"6",7784.6,1.31,3.61,0.14,0.001,2.765,0.31,0.61,42.6,0.14,0.02,1.5,10,2,15,7.5,7.5,15.18375,1.5,1.5,5,5,"Utica FM"
"7",7785,1.74,4.91,0.48,0.001,1.27,0.45,0.3,38.13,0.13,0.02,1.5,10,2,15,7.5,15.75,15.13,8.03,18,5,5,"Utica FM"
"8",7785.6,9,25.89,2.67,0.001,4.72,1.28,1.26,4.01,0.02,0.02,1.5,10,2,15,7.5,101.49,19.06,58.32,142.14,17.37,3,"Utica FM"
"9",7786.1,8.04,23.07,2.3,0.001,3.96,1.92,0.76,10.22,0.06,0.02,1.5,10,2,15,7.5,89.96,22.99,50.58,108.32,23.34,3,"Utica FM"
"10",7787.1,7.16,22.07,2.48,0.001,4.2,2.05,0.68,8.65,0.04,0.08,1.5,10,2,15,7.5,7.5,19.045,50.69,111.39,5,3,"Utica FM"
