"DEPT","MMK","GR","TENS","CALI","BHVT","AHVT","LLDC","LLSC","MSFL","DPHI","NPHI","RHOB","DRHO","PE","LLS","LLD","CLLD","LATITUDE","LOGITUDE"
136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41.12738","-81.056164"
136.25,0,43.0709,3846.1697,4.5,1575.2872,585.6419,0.025,20247.3203,20000,56.9465,-3.8073,1.7362,-0.0739,11.0662,40000,0.025,40000,"41.12738","-81.056164"
136.5,0,43.6859,3876.2783,4.5,1575.2596,585.6419,0.025,20247.3203,20000,57.308,-3.8048,1.73,-0.0797,10.9944,40000,0.025,40000,"41.12738","-81.056164"
136.75,0,43.0709,3907.4929,4.5,1575.2321,585.6419,0.025,20247.3203,20000,57.7433,-3.8114,1.7226,-0.0868,11.0041,40000,0.025,40000,"41.12738","-81.056164"
137,0,42.5015,3919.7756,4.5,1575.2045,585.6419,0.025,20247.3203,20000,58.0781,-3.7929,1.7169,-0.0934,11.1542,40000,0.025,40000,"41.12738","-81.056164"
137.25,0,42.2282,3940.6411,4.5,1575.1769,585.6419,0.025,20247.3203,20000,58.4821,-3.8048,1.71,-0.0987,11.3145,40000,0.025,40000,"41.12738","-81.056164"
137.5,0,42.5015,3946.106,4.5,1575.1493,585.6419,0.025,20247.3203,20000,58.7384,-3.7751,1.7056,-0.1022,11.366,40000,0.025,40000,"41.12738","-81.056164"
137.75,0,43.2076,3951.5608,4.5,1575.1217,585.6419,0.025,20247.3203,20000,58.9516,-3.7844,1.7019,-0.1048,11.3838,40000,0.025,40000,"41.12738","-81.056164"
138,0,43.8681,3942.3962,4.5,1575.0941,585.6419,0.025,20247.3203,20000,59.1023,-3.7702,1.6994,-0.1074,11.3246,40000,0.025,40000,"41.12738","-81.056164"
138.25,0,43.1393,3948.3193,4.5,1575.0665,585.6419,0.025,20247.3203,20000,59.0913,-3.7822,1.6995,-0.1101,11.2501,40000,0.025,40000,"41.12738","-81.056164"
138.5,0,41.8638,3953.6169,4.5,1575.0389,585.6419,0.025,20247.3203,20000,59.0969,-3.7481,1.6994,-0.1132,11.2461,40000,0.025,40000,"41.12738","-81.056164"
138.75,0,40.816,3965.7656,4.5,1575.0114,585.6419,0.025,20247.3203,20000,58.9958,-3.7532,1.7012,-0.1155,11.2344,40000,0.025,40000,"41.12738","-81.056164"
139,0,39.7455,3963.2837,4.5,1574.9838,585.6419,0.025,20247.3203,20000,59.0158,-3.7756,1.7008,-0.118,11.1863,40000,0.025,40000,"41.12738","-81.056164"
139.25,0,39.4039,3967.073,4.5,1574.9562,585.6419,0.025,20247.3203,20000,59.1083,-3.8276,1.6992,-0.1203,11.1034,40000,0.025,40000,"41.12738","-81.056164"
139.5,0,39.1078,3960.5901,4.5,1574.9286,585.6419,0.025,20247.3203,20000,59.1682,-3.8455,1.6982,-0.1218,10.9704,40000,0.025,40000,"41.12738","-81.056164"
139.75,0,38.8344,3950.5544,4.5,1574.901,585.6419,0.025,20247.3203,20000,59.248,-3.8188,1.6969,-0.123,10.8351,40000,0.025,40000,"41.12738","-81.056164"
140,0,37.9689,3928.1794,4.5,1574.8734,585.6419,0.025,20247.3203,20000,59.234,-3.7719,1.6971,-0.1233,10.8008,40000,0.025,40000,"41.12738","-81.056164"
140.25,0,35.6685,3886.0344,4.5,1574.8458,585.6419,0.025,20247.3203,20000,59.1647,-3.7728,1.6983,-0.1229,10.8312,40000,0.025,40000,"41.12738","-81.056164"
140.5,0,32.6847,3848.8523,4.5,1574.8182,585.6419,0.025,20247.3203,20000,59.1935,-3.7897,1.6978,-0.1221,10.9374,40000,0.025,40000,"41.12738","-81.056164"
140.75,0,29.3593,3821.4817,4.5,1574.7906,585.6419,0.025,20247.3203,20000,59.2021,-3.8041,1.6976,-0.121,11.0896,40000,0.025,40000,"41.12738","-81.056164"
141,0,25.9883,3824.4331,4.5,1574.7631,585.6419,0.025,20247.3203,20000,59.1135,-3.7918,1.6992,-0.1191,11.1051,40000,0.025,40000,"41.12738","-81.056164"
141.25,0,23.1185,3843.5544,4.5,1574.7355,585.6419,0.025,20247.3203,20000,59.0773,-3.7845,1.6998,-0.1171,11.0421,40000,0.025,40000,"41.12738","-81.056164"
141.5,0,19.9297,3880.6812,4.5,1574.7079,585.6419,17727.2344,20247.3203,20000,58.8176,-3.7818,1.7042,-0.1144,10.8681,40000,40000,0.025,"41.12738","-81.056164"
141.75,0,18.062,3907.8726,4.5,1574.6803,585.6419,17727.2344,20247.3203,20000,58.6375,-3.7948,1.7073,-0.1115,10.6572,40000,40000,0.025,"41.12738","-81.056164"
