Depth_ft,Al_wt%,Si_wt%,K_wt%,Ti_wt%,Fe_wt%,S_wt%,Mg_wt%,Ca_wt%,Sr_wt%,P_wt%,Mo_ppm,V_ppm,U_ppm,Ni_ppm,Cu_ppm,Zn_ppm,Th_ppm,Rb_ppm,Zr_ppm,Pb_ppm,Chemofacies
7782,2.12,5.48,0.38,0,1.19,0.42,0.75,38.61,0.13,0,0,0,0,0,0,25.78,16.85,9.1,20.91,0,5
7782.6,7.3,23.7,2.52,0.44,4.36,1.58,0.69,4.82,0.02,0,0,0,0,0,0,0,0,57.66,135.43,0,3
7783,1.04,2.62,0.11,0,0,0.66,0,44.49,0.15,0,0,0,0,0,0,0,0,0,0,0,5
7783.6,4.12,11.97,1.39,0,3.66,0.92,0.67,19.92,0.05,0,0,0,0,0,0,0,0,48.77,104.86,0,3
7784,8.6,26.01,2.6,0.46,4.26,2.15,0.9,4.83,0.03,0,0,0,0,0,0,72.09,0,56.94,149.79,27.11,3
7784.6,1.31,3.61,0.14,0,0,0.31,0.61,42.6,0.14,0,0,0,0,0,0,0,0,0,0,0,5
7785,1.74,4.91,0.48,0,1.27,0.45,0,38.13,0.13,0,0,0,0,0,0,15.75,15.13,8.03,18,0,5
7785.6,9,25.89,2.67,0,4.72,1.28,1.26,4.01,0.02,0,0,0,0,0,0,101.49,0,58.32,142.14,17.37,3
7786.1,8.04,23.07,2.3,0,3.96,1.92,0.76,10.22,0.06,0,0,0,0,0,0,89.96,22.99,50.58,108.32,23.34,3
7787.1,7.16,22.07,2.48,0,4.2,2.05,0.68,8.65,0.04,0.08,0,0,0,0,0,0,0,50.69,111.39,0,3
7787.3,6.72,21.79,2.47,0.41,4.1,1.07,0.69,7.01,0.03,0,0,0,0,0,0,79.3,0,51.2,121.95,0,3
7787.6,9.42,26.97,2.78,0.5,4.54,2.53,1.31,5.54,0.02,0,0,0,0,0,0,81.95,0,61.22,128.43,24.77,3
7788,6.35,18.39,2.41,0,3.96,1.83,0.81,10.65,0.06,0,0,0,14.69,0,77.23,89.58,15.1,53.47,116.28,26.48,1
7788.6,9.88,25.56,3.08,0,4.26,2.93,1.14,3.64,0.02,0,0,0,7.36,0,51.09,192.48,29.26,64.75,182.53,32.39,1
7789,6.08,18.75,2.35,0,4.09,1.21,0.7,11.7,0.04,0,0,0,0,0,0,0,0,48.96,106.42,0,3
7789.6,8.7,26.9,3.01,0.51,4.66,2.26,1.35,4.48,0.03,0,0,0,0,68.59,0,76.55,16.69,56.13,126.72,27.58,3
7790,9.12,25.93,2.79,0.51,4.66,2.14,1.35,4.87,0.03,0,0,0,0,84.71,30.86,79.41,0,58.28,131.08,27.77,3
7790.6,8.8,25.73,2.75,0,4.21,1.79,0.91,5.35,0.03,0,0,0,0,69.97,0,72.5,13.66,60.51,121.36,23.87,3
7791,8.99,26.7,2.44,0.44,4.2,1.43,0.86,6.45,0.03,0,0,0,0,0,0,70.61,0,54.46,129.59,20.07,3
7791.6,10.4,27.1,2.99,0.45,4.43,1.19,1.68,4.79,0.02,0,0,0,0,0,0,73.29,0,61.91,120.39,12.59,3
7792,10.08,27.09,2.91,0,4.66,1.48,1.3,4.43,0.02,0,0,0,0,0,0,0,0,61.72,131.44,0,3
7792.6,8.3,26.5,2.14,0,4.43,2.01,1.12,6.79,0.03,0,0,0,0,70.67,0,87.92,16.17,47.04,139,21.01,3
7793,6.81,19.67,2.02,0,3.69,2.06,1.31,13.28,0.05,0,0,0,0,0,0,0,0,44.4,92.62,0,3
7793.6,7.37,22.8,2.75,0.51,4.72,2.49,0.42,3.79,0.02,0,0,0,0,0,0,82.66,24.27,58.38,123.25,25.58,3
7794,8.07,20.8,2.03,0,4.51,2.63,0.96,13.78,0.05,0,0,0,0,0,0,76.91,29.9,49.53,103.3,21.99,3
7794.6,8.89,25.93,2.86,0.51,4.78,1.94,1.17,4.31,0.03,0,0,0,0,0,0,84.74,19.63,59.21,121.96,13.38,3
7795,8.95,25.03,2.6,0,4.12,1.35,1.04,6.62,0.04,0,0,0,0,0,0,65.69,19.03,57.77,128.18,15.39,3
7795.6,5.97,18.94,2.56,0,5.41,3.32,0.96,7.99,0.03,0.09,0,0,0,0,0,0,0,55,124.91,0,3
7796,8.93,25.39,2.67,0.42,4.52,2.84,1.06,4.37,0.03,0,0,0,0,76.91,24.76,106.02,14.37,59.9,132.46,24.45,3
7796.6,5.66,15.76,1.48,0,3.49,1.65,1.33,19.01,0.07,0,0,0,0,0,0,241.39,0,41.64,94.12,0,3
7797,8.97,26.04,2.66,0.48,4.44,2.62,1.01,5.2,0.03,0.04,0,0,0,0,45.85,80.7,0,57.3,123.58,28.2,3
7797.6,6.66,21.54,2.85,0.49,4.77,2.12,0.8,4.26,0.02,0.02,0,0,0,0,0,0,0,60.9,126.03,0,3
7798,7.56,21.68,2.49,0,4.4,2.1,0.6,9.1,0.04,0.06,0,0,0,0,0,78.97,0,50.69,122.38,30.91,3
7798.6,1.51,4.37,0.27,0,1.1,0.39,0,41.11,0.12,0,0,0,0,0,0,0,0,0,0,0,5
7799,7.03,20.3,2.53,0,3.99,1.15,0.94,9.41,0.04,0,0,0,0,0,0,0,0,52.5,101.76,0,3
7799.6,8.94,25.62,2.67,0.44,4.31,2.39,1.17,5.94,0.03,0,0,0,0,0,0,93.41,0,58.44,125.64,27.59,3
